Country,Month,Date,State,District,Projects Name,Case,Cluster,Affect,Level_Case,Level_Cluster,Level_Affect,Level_Total,FinalAlertLevel
Malaysia,Dec,12/1/2021,Sarawak,Bintulu,ABF,10,2,0,4,3,1,8,3
Malaysia,Dec,12/2/2021,Sarawak,Bintulu,ABF,7,2,0,3,3,1,7,2
Malaysia,Dec,12/3/2021,Sarawak,Bintulu,ABF,7,2,0,3,3,1,7,2
Malaysia,Dec,12/4/2021,Sarawak,Bintulu,ABF,8,2,0,3,3,1,7,2
Malaysia,Dec,12/5/2021,Sarawak,Bintulu,ABF,9,2,0,3,3,1,7,2
Malaysia,Dec,12/6/2021,Sarawak,Bintulu,ABF,10,2,0,4,3,1,8,3
Malaysia,Dec,12/7/2021,Sarawak,Bintulu,ABF,10,2,0,4,3,1,8,3
Malaysia,Dec,12/8/2021,Sarawak,Bintulu,ABF,5,2,0,3,3,1,7,2
Malaysia,Dec,12/9/2021,Sarawak,Bintulu,ABF,5,2,0,3,3,1,7,2
Malaysia,Dec,12/10/2021,Sarawak,Bintulu,ABF,5,2,0,3,3,1,7,2
Malaysia,Dec,12/11/2021,Sarawak,Bintulu,ABF,5,2,0,3,3,1,7,2
Malaysia,Dec,12/12/2021,Sarawak,Bintulu,ABF,5,2,0,3,3,1,7,2
Malaysia,Dec,12/13/2021,Sarawak,Bintulu,ABF,5,2,0,3,3,1,7,2
Malaysia,Dec,12/14/2021,Sarawak,Bintulu,ABF,5,2,0,3,3,1,7,2
Malaysia,Dec,12/15/2021,Sarawak,Bintulu,ABF,5,2,0,3,3,1,7,2
Malaysia,Dec,12/16/2021,Sarawak,Bintulu,ABF,5,2,0,3,3,1,7,2
Malaysia,Dec,12/17/2021,Sarawak,Bintulu,ABF,5,2,0,3,3,1,7,2
Malaysia,Dec,12/18/2021,Sarawak,Bintulu,ABF,5,2,0,3,3,1,7,2
Malaysia,Dec,12/19/2021,Sarawak,Bintulu,ABF,5,2,0,3,3,1,7,2
Malaysia,Dec,12/20/2021,Sarawak,Bintulu,ABF,5,2,0,3,3,1,7,2
Malaysia,Dec,12/21/2021,Sarawak,Bintulu,ABF,5,2,0,3,3,1,7,2
Malaysia,Dec,12/22/2021,Sarawak,Bintulu,ABF,1,2,0,1,3,1,5,2
Malaysia,Dec,12/23/2021,Sarawak,Bintulu,ABF,1,2,0,1,3,1,5,2
Malaysia,Dec,12/24/2021,Sarawak,Bintulu,ABF,1,2,0,1,3,1,5,2
Malaysia,Dec,12/25/2021,Sarawak,Bintulu,ABF,1,2,0,1,3,1,5,2
Malaysia,Dec,12/26/2021,Sarawak,Bintulu,ABF,1,2,0,1,3,1,5,2
Malaysia,Dec,12/27/2021,Sarawak,Bintulu,ABF,1,2,0,1,3,1,5,2
Malaysia,Dec,12/28/2021,Sarawak,Bintulu,ABF,1,2,0,1,3,1,5,2
Malaysia,Dec,12/29/2021,Sarawak,Bintulu,ABF,1,2,0,1,3,1,5,2
Malaysia,Dec,12/30/2021,Sarawak,Bintulu,ABF,1,2,0,1,3,1,5,2
Malaysia,Dec,12/31/2021,Sarawak,Bintulu,ABF,1,2,0,1,3,1,5,2
